Name;DEIMS.ID;Country;Coordinates
Predeal-spruce;ba4963e3-0164-4448-a53c-6951c10e9cd0;Romania;"POINT (25.5892 45.5069)"
"Ravels Forest";e74fdeaf-08ed-4306-9473-58e3f9a05e73;Belgium;"POINT (5.05416 51.4019)"
"Renon BOL1";5d32cbf8-ab7c-4acb-b29f-600fec830a1d;Italy;"POINT (11.4336 46.5868)"
"Roztoczanski National Park";30b9e1e0-d612-4533-90d1-750bc5ca7feb;Poland;"POINT (22.9925 50.5745)"
Ruette;06e97a1e-2eb7-4ab1-8cc9-321aebf125d2;Belgium;"POINT (5.575 49.530556)"
Salmopol;ffdea94e-8148-4adf-8f64-c2d2289f242f;Poland;"POINT (18.9664 49.663)"
Schaenis;049de4d9-d7db-4b2c-ace5-de8873f5d277;Switzerland;"POINT (9.0670726 47.1650464)"
Schaenis;049de4d9-d7db-4b2c-ace5-de8873f5d277;Switzerland;"POINT (9.0670726 47.1650464)"
Solling;2d55b484-2a89-4023-be00-49829ab327f9;Germany;"POINT (9.56667 51.7667)"
"Sonian Forest";0fa0d44f-5314-405f-a647-a7dda423031f;Belgium;"POINT (4.4133 50.746)"
"Spanish ICP-Forests Level II Plots Network (Plot code 05 Ps)";6b5ea4b7-c31d-4418-9dd5-233188df1114;Spain;"POINT (-3.9714 40.8736)"
"Spanish ICP-Forests Level II Plots Network (Plot code 06 Qi)";8f6ff47e-046b-468b-b4b9-472f5fd025d4;Spain;"POINT (0.0169 40.54)"
"Spanish ICP-Forests Level II Plots Network (Plot code 07Qi)";f1f781c4-0745-4086-86ee-0bb122f59637;Spain;"POINT (-5.7931 39.9347)"
"Spanish ICP-Forests Level II Plots Network (Plot code 10 Ppa)";52cc849a-2fd1-491d-a298-9bf3db884b88;Spain;"POINT (-6.7325 37.1553)"
"Spanish ICP-Forests Level II Plots Network (Plot code 102 Ppr)";50374ba1-d524-4396-bd2f-a6270e7d9af8;Spain;"POINT (-8.71 42.7381)"
"Spanish ICP-Forests Level II Plots Network (Plot code 11 Qs)";82a80c17-91b2-4e0d-8250-af97bcc20261;Spain;"POINT (-6.4433 40.1906)"
"Spanish ICP-Forests Level II Plots Network (Plot code 115 Fs)";15184d11-901b-4f0d-8e9d-e3350109c4d5;Spain;"POINT (-1.3481 42.9998)"
"Spanish ICP-Forests Level II Plots Network (Plot code 22 Pn)";ce3205f5-c3ed-4828-a279-ca0cccac5182;Spain;"POINT (-0.7289 40.3233)"
"Spanish ICP-Forests Level II Plots Network (Plot code 25 Ph)";846d8978-bd67-43db-843e-c3568c40b088;Spain;"POINT (-0.6314 38.5197)"
"Spanish ICP-Forests Level II Plots Network (Plot code 26 Qi)";101534e3-569e-43db-867c-6dd3689f6975;Spain;"POINT (-4.0789 38.1822)"
"Spanish ICP-Forests Level II Plots Network (Plot code 30 Ps)";0534178f-c40e-4247-9e34-fd174c6709f8;Spain;"POINT (-2.8842 41.8686)"
"Spanish ICP-Forests Level II Plots Network (Plot code 33 Qpe)";bce69205-cc4d-4428-be30-c47274eee024;Spain;"POINT (-4.5575 42.8664)"
"Spanish ICP-Forests Level II Plots Network (Plot code 37 Ppr)";edc104bd-a710-42dc-902e-2f8401004d95;Spain;"POINT (-4.2892 41.3536)"
"Spanish ICP-Forests Level II Plots Network (Plot code 54 Ph)";0584f4b7-7f16-4cb7-be15-6c906ea4a6d9;Spain;"POINT (-0.3192 39.3467)"
Stefanesti-oak;5311dc45-04db-4358-b5fa-9ba59c044e61;Romania;"POINT (26.1775 44.510833)"
Stefanesti-oak;5311dc45-04db-4358-b5fa-9ba59c044e61;Romania;"POINT (26.1775 44.510833)"
"Tarvisio FRI2";5907d0b6-7b4d-4260-a669-4bc0f61d1696;Italy;"POINT (13.5933 46.4894)"
Tellin;b2c68241-ba08-48df-809a-c6aa15af85b1;Belgium;"POINT (5.221667 50.053889)"
"Tenuta di Castelporziano";0d2269d3-5423-4939-a30d-077c8bc38b03;Italy;"POINT (12.4 41.745)"
"TERENO - Bode catchment";5400ea90-5cb5-4b30-a98d-c8025ae61154;Germany;"POINT (11.2585 51.8617)"
"TERENO - Bode catchment";5400ea90-5cb5-4b30-a98d-c8025ae61154;Germany;"POINT (11.2585 51.8617)"
"Uhlirska catchment";58923a61-9633-4d06-b147-65d45d2919d3;Czechia;"POINT (15.1507544 50.8306642)"
