Time,Press,Temp,Rain,WDir,Humid,SolRad
2017-08-30T19:40:00,1014.93,24.41,0,85.7,76,0
2017-08-30T19:50:00,1015.93,24.44,0,80.7,74.2,0
2017-08-30T20:00:00,1015.93,24.44,0,45.5,73.5,0
2017-08-30T20:10:00,1015.93,24.46,0,50.5,72.5,0
2017-08-30T20:20:00,1015.93,24.37,0,46.9,72.2,0
2017-08-30T20:30:00,1014.93,24.43,0,50.6,69.92,0
2017-08-30T20:40:00,1014.93,24.41,0,26.3,70.3,0
2017-08-30T20:50:00,1015.93,24.33,0,352.6,71.4,0
2017-08-30T21:00:00,1015.93,24.18,0,6.1,72.1,0
2017-08-30T21:10:00,1015.93,23.95,0,24.2,74.6,0
2017-08-30T21:20:00,1015.93,23.56,0,74.9,73.5,0
2017-08-30T21:30:00,1015.93,23.81,0,95.7,71.2,0
2017-08-30T21:40:00,1015.93,23.88,0,58.9,69.11,0
2017-08-30T21:50:00,1015.93,23.65,0,45.6,68.32,0
2017-08-30T22:00:00,1014.93,23.5,0,40.4,68.6,0
2017-08-30T22:10:00,1014.93,23.71,0,34.7,68.45,0
2017-08-30T22:20:00,1014.93,23.59,0,41.4,67.06,0
2017-08-30T22:30:00,1014.93,23.69,0,48.5,62.92,0
2017-08-30T22:40:00,1014.93,23.98,0,58.2,59.26,0
2017-08-30T22:50:00,1014.93,23.92,0,64.8,62.41,0
2017-08-30T23:00:00,1014.93,23.71,0,64.3,62.26,0
2017-08-30T23:10:00,1014.93,23.9,0,46,62.82,0
2017-08-30T23:20:00,1014.93,23.88,0,31.1,63.39,0
2017-08-30T23:30:00,1014.93,23.97,0,30.1,63.79,0
2017-08-30T23:40:00,1014.93,23.88,0,30.8,64.32,0
2017-08-30T23:50:00,1014.93,23.65,0,31.3,64.85,0
2017-08-31T00:00:00,1014.93,23.42,0,10.5,62.64,0
2017-08-31T00:10:00,1014.93,23.41,0,55.1,57.56,0
2017-08-31T00:20:00,1014.93,23.46,0,66.9,54.87,0
2017-08-31T00:30:00,1014.93,23.17,0,42.5,54.49,0
2017-08-31T00:40:00,1014.93,23.22,0,8.7,53.77,0
2017-08-31T00:50:00,1014.93,23.26,0,13.8,54.22,0
2017-08-31T01:00:00,1014.93,23.07,0,48.4,53.35,0
2017-08-31T01:10:00,1014.93,22.99,0,56,52.91,0
2017-08-31T01:20:00,1014.93,23.07,0,27.1,52.14,0
2017-08-31T01:30:00,1014.93,22.97,0,27.3,52.48,0
2017-08-31T01:40:00,1014.93,22.77,0,20.1,53.6,0
2017-08-31T01:50:00,1014.93,22.84,0,38.3,53.71,0
2017-08-31T02:00:00,1014.93,22.84,0,20.6,53.51,0
2017-08-31T02:10:00,1014.93,22.32,0,6.8,55.69,0
2017-08-31T02:20:00,1014.93,22.5,0,37.2,55.11,0
2017-08-31T02:30:00,1014.93,22.64,0,33.8,55.06,0
2017-08-31T02:40:00,1014.93,22.43,0,39.1,55.69,0
2017-08-31T02:50:00,1014.93,22.39,0,49.4,55.92,0
2017-08-31T03:00:00,1014.93,22.49,0,38.2,54.94,0
2017-08-31T03:10:00,1014.93,22.46,0,48.4,54.68,0
2017-08-31T03:20:00,1015.93,22.39,0,152.5,55.35,0
2017-08-31T03:30:00,1015.93,22.31,0,86.1,56.31,0
2017-08-31T03:40:00,1015.93,22.35,0,6.3,56.23,0
2017-08-31T03:50:00,1015.93,22.44,0,48.9,57.42,0
2017-08-31T04:00:00,1015.93,22.44,0,4.2,59.44,0
2017-08-31T04:10:00,1016.93,22.4,0,344.6,57.56,0
2017-08-31T04:20:00,1016.93,22.53,0,74.1,59.9,0
2017-08-31T04:30:00,1016.93,22.37,0,168.6,63.9,0.82
2017-08-31T04:40:00,1016.93,22.03,0,329.1,61.8,2.601
2017-08-31T04:50:00,1016.93,22,0,342.9,59.57,4.895
2017-08-31T05:00:00,1016.93,22.18,0,95.8,61.39,13.12
2017-08-31T05:10:00,1016.93,22.3,0,72.1,65.96,22.27
2017-08-31T05:20:00,1016.93,22.49,0,62.8,70,32.52
2017-08-31T05:30:00,1016.93,22.39,0,299.6,69.29,42.57
2017-08-31T05:40:00,1016.93,22.34,0,333.9,67.42,59.12
2017-08-31T05:50:00,1016.93,22.57,0,67.7,70.3,111.8
2017-08-31T06:00:00,1016.93,23.11,0,76.5,73.8,122.2
2017-08-31T06:10:00,1016.93,23.12,0,78.6,76.6,77.8
2017-08-31T06:20:00,1016.93,22.93,0,81.9,81.5,45.54
2017-08-31T06:30:00,1016.93,22.87,0,62.7,82.8,72.4
2017-08-31T06:40:00,1016.93,22.39,0,39.8,76.2,100.1
2017-08-31T06:50:00,1016.93,21.96,0,23.7,71.4,122.8
2017-08-31T07:00:00,1015.93,21.78,0,37,68.15,103.5
2017-08-31T07:10:00,1015.93,21.87,0,35.6,66.52,57
2017-08-31T07:20:00,1016.93,21.74,0,29.7,66,49.72
2017-08-31T07:30:00,1015.93,21.75,0,29.7,65.62,51.89
2017-08-31T07:40:00,1016.93,21.71,0,8,66.75,70.3
2017-08-31T07:50:00,1016.93,21.74,0,342.4,68.03,100.9
2017-08-31T08:00:00,1016.93,21.89,0,3.4,69.25,179.8
2017-08-31T08:10:00,1016.93,22.11,0,357.5,68.12,124.9
2017-08-31T08:20:00,1017.93,22.34,0,7.1,66.3,100.3
2017-08-31T08:30:00,1016.93,22.52,0,64.9,65.38,109.4
2017-08-31T08:40:00,1017.93,22.85,0,358.3,65.01,99.9
2017-08-31T08:50:00,1017.93,22.96,0,24.7,66.8,50.87
2017-08-31T09:00:00,1016.93,22.55,0,25.8,72,58.17
2017-08-31T09:10:00,1017.93,22.18,0,82.2,76.2,129
2017-08-31T09:20:00,1017.93,21.96,0,15.6,76.4,145.8
2017-08-31T09:30:00,1016.93,21.95,0,32.9,71.2,245.1
2017-08-31T09:40:00,1016.93,22.63,0,31.9,67.28,618
2017-08-31T09:50:00,1016.93,23.72,0,32.6,66.05,570.4
2017-08-31T10:00:00,1016.93,24.07,0,16.7,63.12,358.2
2017-08-31T10:10:00,1016.93,24.25,0,329.5,62.25,383
2017-08-31T10:20:00,1016.93,24.45,0,311.7,61.21,305.4
2017-08-31T10:30:00,1016.93,25,0,313.7,61.07,826
2017-08-31T10:40:00,1016.93,25.9,0,224.3,65.86,661.1
2017-08-31T10:50:00,1016.93,25.74,0,251.4,69.45,700
2017-08-31T11:00:00,1016.93,25.56,0,192.6,73.1,774
2017-08-31T11:10:00,1016.93,26.39,0,182.5,69.41,791
